TRACT,LON,LAT,MEDV,CMEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
2011,-70.955000,42.255000,24.0,24.0,0.00632,18.0,2.31,0,538,6575,65.2,4.0900,1,296,15.3,396.90,4.98
2021,-70.950000,42.287500,21.6,21.6,0.02731,0.0,7.07,0,469,6421,78.9,4.9671,2,242,17.8,396.90,9.14
2022,-70.936000,42.283000,34.7,34.7,0.02729,0.0,7.07,0,469,7185,61.1,4.9671,2,242,17.8,392.83,4.03
2031,-70.928000,42.293000,33.4,33.4,0.03237,0.0,2.18,0,458,6998,45.8,6.0622,3,222,18.7,394.63,2.94
2032,-70.922000,42.298000,36.2,36.2,0.06905,0.0,2.18,0,458,7147,54.2,6.0622,3,222,18.7,396.90,5.33
2033,-70.916500,42.304000,28.7,28.7,0.02985,0.0,2.18,0,458,6430,58.7,6.0622,3,222,18.7,394.12,5.21
2041,-70.936000,42.297000,22.9,22.9,0.08829,12.5,7.87,0,524,6012,66.6,5.5605,5,311,15.2,395.60,12.43
2042,-70.937500,42.310000,27.1,22.1,0.14455,12.5,7.87,0,524,6172,96.1,5.9505,5,311,15.2,396.90,19.15
2043,-70.933000,42.312000,16.5,16.5,0.21124,12.5,7.87,0,524,5631,100.0,6.0821,5,311,15.2,386.63,29.93
2044,-70.929000,42.316000,18.9,18.9,0.17004,12.5,7.87,0,524,6004,85.9,6.5921,5,311,15.2,386.71,17.10
2045,-70.935000,42.316000,15.0,15.0,0.22489,12.5,7.87,0,524,6377,94.3,6.3467,5,311,15.2,392.52,20.45
2046,-70.944000,42.317000,18.9,18.9,0.11747,12.5,7.87,0,524,6009,82.9,6.2267,5,311,15.2,396.90,13.27
2047,-70.951000,42.306000,21.7,21.7,0.09378,12.5,7.87,0,524,5889,39.0,5.4509,5,311,15.2,390.50,15.71
2051,-70.964500,42.292000,20.4,20.4,0.62976,0.0,8.14,0,538,5949,61.8,4.7075,4,307,21.0,396.90,8.26
2052,-70.972000,42.287000,18.2,18.2,0.63796,0.0,8.14,0,538,6096,84.5,4.4619,4,307,21.0,380.02,10.26
2053,-70.976500,42.294000,19.9,19.9,0.62739,0.0,8.14,0,538,5834,56.5,4.4986,4,307,21.0,395.62,8.47
2054,-70.987000,42.298500,23.1,23.1,1.05393,0.0,8.14,0,538,5935,29.3,4.4986,4,307,21.0,386.85,6.58
2055,-70.978000,42.285000,17.5,17.5,0.78420,0.0,8.14,0,538,5990,81.7,4.2579,4,307,21.0,386.75,14.67
2056,-70.992500,42.282500,20.2,20.2,0.80271,0.0,8.14,0,538,5456,36.6,3.7965,4,307,21.0,288.99,11.69
2057,-70.988000,42.277600,18.2,18.2,0.72580,0.0,8.14,0,538,5727,69.5,3.7965,4,307,21.0,390.95,11.28
2058,-70.983500,42.277000,13.6,13.6,1.25179,0.0,8.14,0,538,5570,98.1,3.7979,4,307,21.0,376.57,21.02
2059,-70.982000,42.281000,19.6,19.6,0.85204,0.0,8.14,0,538,5965,89.2,4.0123,4,307,21.0,392.53,13.83
2060,-70.977500,42.279000,15.2,15.2,1.23247,0.0,8.14,0,538,6142,91.7,3.9769,4,307,21.0,396.90,18.72
2061,-70.973000,42.279000,14.5,14.5,0.98843,0.0,8.14,0,538,5813,100.0,4.0952,4,307,21.0,394.54,19.88
2062,-70.969300,42.281600,15.6,15.6,0.75026,0.0,8.14,0,538,5924,94.1,4.3996,4,307,21.0,394.33,16.30
2063,-70.964000,42.284000,13.9,13.9,0.84054,0.0,8.14,0,538,5599,85.7,4.4546,4,307,21.0,303.42,16.51
2064,-70.959700,42.287000,16.6,16.6,0.67191,0.0,8.14,0,538,5813,90.3,4.6820,4,307,21.0,376.88,14.81
2065,-70.959700,42.282500,14.8,14.8,0.95577,0.0,8.14,0,538,6047,88.8,4.4534,4,307,21.0,306.38,17.28
2066,-70.957000,42.280000,18.4,18.4,0.77299,0.0,8.14,0,538,6495,94.4,4.4547,4,307,21.0,387.94,12.80
2067,-70.951000,42.278000,21.0,21.0,1.00245,0.0,8.14,0,538,6674,87.3,4.2390,4,307,21.0,380.23,11.98
2068,-70.967000,42.279000,12.7,12.7,1.13081,0.0,8.14,0,538,5713,94.1,4.2330,4,307,21.0,360.17,22.60
2069,-70.964000,42.276500,14.5,14.5,1.35472,0.0,8.14,0,538,6072,100.0,4.1750,4,307,21.0,376.73,13.04
2070,-70.972000,42.276500,13.2,13.2,1.38799,0.0,8.14,0,538,5950,82.0,3.9900,4,307,21.0,232.60,27.71
2071,-70.979500,42.276000,13.1,13.1,1.15172,0.0,8.14,0,538,5701,95.0,3.7872,4,307,21.0,358.77,18.35
2072,-70.977500,42.272000,13.5,13.5,1.61282,0.0,8.14,0,538,6096,96.9,3.7598,4,307,21.0,248.31,20.34
2081,-71.000000,42.270000,18.9,18.9,0.06417,0.0,5.96,0,499,5933,68.2,3.3603,5,279,19.2,396.90,9.68
2082,-71.008000,42.274500,20.0,20.0,0.09744,0.0,5.96,0,499,5841,61.4,3.3779,5,279,19.2,377.56,11.41
2083,-71.004000,42.286500,21.0,21.0,0.08014,0.0,5.96,0,499,5850,41.5,3.9342,5,279,19.2,396.90,8.77
2084,-71.020000,42.287500,24.7,24.2,0.17505,0.0,5.96,0,499,5966,30.2,3.8473,5,279,19.2,393.43,10.13
2091,-71.013000,42.313000,30.8,30.8,0.02763,75.0,2.95,0,428,6595,21.8,5.4011,3,252,18.3,395.63,4.32
2092,-71.030000,42.324000,34.9,34.9,0.03359,75.0,2.95,0,428,7024,15.8,5.4011,3,252,18.3,395.62,1.98
2101,-71.004000,42.335000,26.6,26.6,0.12744,0.0,6.91,0,448,6770,2.9,5.7209,3,233,17.9,385.41,4.84
2102,-71.003000,42.323500,25.3,25.3,0.14150,0.0,6.91,0,448,6169,6.6,5.7209,3,233,17.9,383.37,5.81
2103,-70.977500,42.323700,24.7,24.7,0.15936,0.0,6.91,0,448,6211,6.5,5.7209,3,233,17.9,394.46,7.44
2104,-70.967500,42.317000,21.2,21.2,0.12269,0.0,6.91,0,448,6069,40.0,5.7209,3,233,17.9,389.39,9.55
2105,-70.972500,42.307500,19.3,19.3,0.17142,0.0,6.91,0,448,5682,33.8,5.1004,3,233,17.9,396.90,10.21
2106,-70.965000,42.307500,20.0,20.0,0.18836,0.0,6.91,0,448,5786,33.3,5.1004,3,233,17.9,396.90,14.15
2107,-70.956000,42.312500,16.6,16.6,0.22927,0.0,6.91,0,448,6030,85.5,5.6894,3,233,17.9,392.74,18.80
2108,-70.955000,42.316500,14.4,14.4,0.25387,0.0,6.91,0,448,5399,95.3,5.8700,3,233,17.9,396.90,30.81
2109,-70.952500,42.320800,19.4,19.4,0.21977,0.0,6.91,0,448,5602,62.0,6.0877,3,233,17.9,396.90,16.20
2111,-70.951000,42.334000,19.7,19.7,0.08873,21.0,5.64,0,439,5963,45.7,6.8147,4,243,16.8,395.56,13.45
2112,-70.963000,42.338200,20.5,20.5,0.04337,21.0,5.64,0,439,6115,63.0,6.8147,4,243,16.8,393.97,9.43
2113,-70.958000,42.346000,25.0,25.0,0.05360,21.0,5.64,0,439,6511,21.1,6.8147,4,243,16.8,396.90,5.28
2114,-70.978000,42.342500,23.4,23.4,0.04981,21.0,5.64,0,439,5998,21.4,6.8147,4,243,16.8,396.90,8.43
2121,-71.017500,42.371500,18.9,18.9,0.01360,75.0,4,0,0.41,5888,47.6,7.3197,3,469,21.1,396.90,14.80
2141,-70.962500,42.381000,35.4,35.4,0.01311,90.0,1.22,0,403,7249,21.9,8.6966,5,226,17.9,395.93,4.81
2151,-70.930000,42.374000,24.7,24.7,0.02055,85.0,0.74,0,0.41,6383,35.7,9.1876,2,313,17.3,396.90,5.77
2161,-70.929500,42.371500,31.6,31.6,0.01432,100.0,1.32,0,411,6816,40.5,8.3248,5,256,15.1,392.90,3.95
2171,-70.938500,42.346000,23.3,23.3,0.15445,25.0,5.13,0,453,6145,29.2,7.8148,8,284,19.7,390.68,6.86
2172,-70.940000,42.332000,19.6,19.6,0.10328,25.0,5.13,0,453,5927,47.2,6.9320,8,284,19.7,396.90,9.22
2173,-70.930000,42.337000,18.7,18.7,0.14932,25.0,5.13,0,453,5741,66.2,7.2254,8,284,19.7,395.11,13.15
2174,-70.930000,42.327500,16.0,16.0,0.17171,25.0,5.13,0,453,5966,93.4,6.8185,8,284,19.7,378.08,14.44
2175,-70.921500,42.332000,22.2,22.2,0.11027,25.0,5.13,0,453,6456,67.8,7.2255,8,284,19.7,396.90,6.73
2176,-70.907500,42.339000,25.0,25.0,0.12650,25.0,5.13,0,453,6762,43.4,7.9809,8,284,19.7,395.58,9.50
2181,-70.860000,42.345000,33.0,33.0,0.01951,17.5,1.38,0,0.4161,7104,59.5,9.2229,3,216,18.6,393.24,8.05
3301,-71.045000,42.345000,23.5,23.5,0.03584,80.0,3.37,0,398,6290,17.8,6.6115,4,337,16.1,396.90,4.67
3302,-71.069000,42.352500,19.4,19.4,0.04379,80.0,3.37,0,398,5787,31.1,6.6115,4,337,16.1,396.90,10.24
3311,-71.090000,42.336200,22.0,22.0,0.05789,12.5,6.07,0,409,5878,21.4,6.4980,4,345,18.9,396.21,8.10
3312,-71.108000,42.340000,17.4,17.4,0.13554,12.5,6.07,0,409,5594,36.8,6.4980,4,345,18.9,396.90,13.09
3313,-71.111000,42.327000,20.9,20.9,0.12816,12.5,6.07,0,409,5885,33.0,6.4980,4,345,18.9,396.90,8.79
3321,-71.121000,42.316000,24.2,24.2,0.08826,0.0,10.81,0,413,6417,6.6,5.2873,4,305,19.2,383.73,6.72
3322,-71.109500,42.300800,21.7,21.7,0.15876,0.0,10.81,0,413,5961,17.5,5.2873,4,305,19.2,376.94,9.88
3323,-71.130000,42.305000,22.8,22.8,0.09164,0.0,10.81,0,413,6065,7.8,5.2873,4,305,19.2,390.91,5.52
3324,-71.123000,42.292000,23.4,23.4,0.19539,0.0,10.81,0,413,6245,6.2,5.2873,4,305,19.2,377.17,7.54
3331,-71.110500,42.289000,24.1,24.1,0.07896,0.0,12.83,0,437,6273,6.0,4.2515,5,398,18.7,394.92,6.78
3332,-71.100000,42.287500,21.4,21.4,0.09512,0.0,12.83,0,437,6286,45.0,4.5026,5,398,18.7,383.23,8.94
3333,-71.090000,42.283500,20.0,20.0,0.10153,0.0,12.83,0,437,6279,74.5,4.0522,5,398,18.7,373.66,11.97
3334,-71.076000,42.289500,20.8,20.8,0.08707,0.0,12.83,0,437,6140,45.8,4.0905,5,398,18.7,386.96,10.27
3335,-71.090500,42.295000,21.2,21.2,0.05646,0.0,12.83,0,437,6232,53.7,5.0141,5,398,18.7,386.40,12.34
3336,-71.091000,42.305000,20.3,20.3,0.08387,0.0,12.83,0,437,5874,36.6,4.5026,5,398,18.7,396.06,9.10
3341,-71.068500,42.308000,28.0,28.0,0.04113,25.0,4.86,0,426,6727,33.5,5.4007,4,281,19.0,396.90,5.29
3342,-71.069000,42.315000,23.9,23.9,0.04462,25.0,4.86,0,426,6619,70.4,5.4007,4,281,19.0,395.63,7.22
3343,-71.067500,42.326000,24.8,24.8,0.03659,25.0,4.86,0,426,6302,32.2,5.4007,4,281,19.0,396.90,6.72
3344,-71.057500,42.317000,22.9,22.9,0.03551,25.0,4.86,0,426,6167,46.7,5.4007,4,281,19.0,390.64,7.51
3351,-71.043000,42.307500,23.9,23.9,0.05059,0.0,4.49,0,449,6389,48.0,4.7794,3,247,18.5,396.90,9.62
3352,-71.050000,42.300000,26.6,26.6,0.05735,0.0,4.49,0,449,6630,56.1,4.4377,3,247,18.5,392.30,6.53
3353,-71.033000,42.305000,22.5,22.5,0.05188,0.0,4.49,0,449,6015,45.1,4.4272,3,247,18.5,395.99,12.86
3354,-71.039000,42.288500,22.2,22.2,0.07151,0.0,4.49,0,449,6121,56.8,3.7476,3,247,18.5,395.15,8.44
3361,-71.042000,42.279600,23.6,23.6,0.05660,0.0,3.41,0,489,7007,86.3,3.4217,2,270,17.8,396.90,5.50
3362,-71.034500,42.278500,28.7,28.7,0.05302,0.0,3.41,0,489,7079,63.1,3.4145,2,270,17.8,396.06,5.70
3363,-71.030000,42.272000,22.6,22.6,0.04684,0.0,3.41,0,489,6417,66.1,3.0923,2,270,17.8,392.18,8.81
3364,-71.042500,42.271500,22.0,22.0,0.03932,0.0,3.41,0,489,6405,73.9,3.0921,2,270,17.8,393.55,8.20
3371,-71.053000,42.283000,22.9,22.9,0.04203,28.0,15.04,0,464,6442,53.6,3.6659,4,270,18.2,395.01,8.16
3372,-71.062000,42.296000,25.0,25.0,0.02875,28.0,15.04,0,464,6211,28.9,3.6659,4,270,18.2,396.33,6.21
3373,-71.061500,42.284000,20.6,20.6,0.04294,28.0,15.04,0,464,6249,77.3,3.6150,4,270,18.2,396.90,10.59
3381,-71.076000,42.277500,28.4,28.4,0.12204,0.0,2.89,0,445,6625,57.8,3.4952,2,276,18.0,357.98,6.65
3382,-71.085000,42.277500,21.4,21.4,0.11504,0.0,2.89,0,445,6163,69.6,3.4952,2,276,18.0,391.83,11.34
3383,-71.089000,42.271500,38.7,38.7,0.12083,0.0,2.89,0,445,8069,76.0,3.4952,2,276,18.0,396.90,4.21
3384,-71.098200,42.268500,43.8,43.8,0.08187,0.0,2.89,0,445,7820,36.9,3.4952,2,276,18.0,393.53,3.57
3385,-71.080000,42.268000,33.2,33.2,0.06860,0.0,2.89,0,445,7416,62.5,3.4952,2,276,18.0,396.90,6.19
3391,-71.066800,42.254500,27.5,27.5,0.14866,0.0,8.56,0,0.52,6727,79.9,2.7778,5,384,20.9,394.76,9.42
3392,-71.081000,42.245000,26.5,26.5,0.11432,0.0,8.56,0,0.52,6781,71.3,2.8561,5,384,20.9,395.58,7.67
3393,-71.081200,42.251500,18.6,18.6,0.22876,0.0,8.56,0,0.52,6405,85.4,2.7147,5,384,20.9,70.80,10.63
3394,-71.077000,42.249000,19.3,19.3,0.21161,0.0,8.56,0,0.52,6137,87.4,2.7147,5,384,20.9,394.47,13.44
3395,-71.069000,42.248000,20.1,20.1,0.13960,0.0,8.56,0,0.52,6167,90.0,2.4210,5,384,20.9,392.69,12.33
3396,-71.066200,42.242500,19.5,19.5,0.13262,0.0,8.56,0,0.52,5851,96.7,2.1069,5,384,20.9,394.05,16.47
3397,-71.062200,42.243100,19.5,19.5,0.17120,0.0,8.56,0,0.52,5836,91.9,2.2110,5,384,20.9,395.67,18.66
3398,-71.055300,42.246500,20.4,20.4,0.13117,0.0,8.56,0,0.52,6127,85.2,2.1224,5,384,20.9,387.69,14.09
3399,-71.055000,42.250500,19.8,19.8,0.12802,0.0,8.56,0,0.52,6474,97.1,2.4329,5,384,20.9,395.24,12.27
3400,-71.060000,42.254000,19.4,19.4,0.26363,0.0,8.56,0,0.52,6229,91.2,2.5451,5,384,20.9,391.23,15.55
3401,-71.056000,42.260500,21.7,21.7,0.10793,0.0,8.56,0,0.52,6195,54.4,2.7778,5,384,20.9,393.49,13.00
3411,-71.047500,42.261000,22.8,22.8,0.10084,0.0,10.01,0,547,6715,81.6,2.6775,6,432,17.8,395.59,10.16
3412,-71.049000,42.253000,18.8,18.8,0.12329,0.0,10.01,0,547,5913,92.9,2.3534,6,432,17.8,394.95,16.21
3413,-71.042800,42.258000,18.7,18.7,0.22212,0.0,10.01,0,547,6092,95.4,2.5480,6,432,17.8,396.90,17.09
3414,-71.039600,42.251200,18.5,18.5,0.14231,0.0,10.01,0,547,6254,84.2,2.2565,6,432,17.8,388.74,10.45
3415,-71.035500,42.254500,18.3,18.3,0.17134,0.0,10.01,0,547,5928,88.2,2.4631,6,432,17.8,344.91,15.76
3416,-71.036000,42.260800,21.2,21.2,0.13158,0.0,10.01,0,547,6176,72.5,2.7301,6,432,17.8,393.30,12.04
3417,-71.028500,42.262000,19.2,19.2,0.15098,0.0,10.01,0,547,6021,82.6,2.7474,6,432,17.8,394.51,10.30
3418,-71.028500,42.258000,20.4,20.4,0.13058,0.0,10.01,0,547,5872,73.1,2.4775,6,432,17.8,338.63,15.37
3419,-71.019000,42.260500,19.3,19.3,0.14476,0.0,10.01,0,547,5731,65.2,2.7592,6,432,17.8,391.50,13.61
3421,-71.024300,42.248300,22.0,22.0,0.06899,0.0,25.65,0,581,5870,69.7,2.2577,2,188,19.1,389.15,14.37
3422,-71.031200,42.250500,20.3,20.3,0.07165,0.0,25.65,0,581,6004,84.1,2.1974,2,188,19.1,377.67,14.27
3423,-71.037700,42.247000,20.5,20.5,0.09299,0.0,25.65,0,581,5961,92.9,2.0869,2,188,19.1,378.09,17.93
3424,-71.037000,42.243500,17.3,17.3,0.15038,0.0,25.65,0,581,5856,97.0,1.9444,2,188,19.1,370.31,25.41
3425,-71.030800,42.245000,18.8,18.8,0.09849,0.0,25.65,0,581,5879,95.8,2.0063,2,188,19.1,379.38,17.58
3426,-71.026200,42.243100,21.4,21.4,0.16902,0.0,25.65,0,581,5986,88.4,1.9929,2,188,19.1,385.02,14.81
3427,-71.033300,42.239500,15.7,15.7,0.38735,0.0,25.65,0,581,5613,95.6,1.7572,2,188,19.1,359.29,27.26
3501,-71.053000,42.235500,16.2,16.2,0.25915,0.0,21.89,0,624,5693,96.0,1.7883,4,437,21.2,392.11,17.19
3502,-71.058000,42.235000,18.0,18.0,0.32543,0.0,21.89,0,624,6431,98.8,1.8125,4,437,21.2,396.90,15.39
3503,-71.063800,42.236800,14.3,14.3,0.88125,0.0,21.89,0,624,5637,94.7,1.9799,4,437,21.2,396.90,18.34
3504,-71.069200,42.239000,19.2,19.2,0.34006,0.0,21.89,0,624,6458,98.9,2.1185,4,437,21.2,395.04,12.60
3505,-71.075000,42.240000,19.6,19.6,1.19294,0.0,21.89,0,624,6326,97.7,2.2710,4,437,21.2,396.90,12.26
3506,-71.074500,42.240500,23.0,23.0,0.59005,0.0,21.89,0,624,6372,97.9,2.3274,4,437,21.2,385.76,11.12
3507,-71.079000,42.245000,18.4,18.4,0.32982,0.0,21.89,0,624,5822,95.4,2.4699,4,437,21.2,388.69,15.03
3508,-71.076000,42.240500,15.6,15.6,0.97617,0.0,21.89,0,624,5757,98.4,2.3460,4,437,21.2,262.76,17.31
3509,-71.075000,42.236200,18.1,18.1,0.55778,0.0,21.89,0,624,6335,98.2,2.1107,4,437,21.2,394.67,16.96
3510,-71.067700,42.233500,17.4,17.4,0.32264,0.0,21.89,0,624,5942,93.5,1.9669,4,437,21.2,378.25,16.90
3511,-71.063000,42.232500,17.1,17.1,0.35233,0.0,21.89,0,624,6454,98.4,1.8498,4,437,21.2,394.08,14.59
3512,-71.062000,42.227500,13.3,13.3,0.24980,0.0,21.89,0,624,5857,98.2,1.6686,4,437,21.2,392.04,21.32
3513,-71.056800,42.230000,17.8,17.8,0.54452,0.0,21.89,0,624,6151,97.9,1.6687,4,437,21.2,396.90,18.46
3514,-71.051800,42.231200,14.0,14.0,0.29090,0.0,21.89,0,624,6174,93.6,1.6119,4,437,21.2,388.08,24.16
3515,-71.054300,42.226500,14.4,14.4,1.62864,0.0,21.89,0,624,5019,100.0,1.4394,4,437,21.2,396.90,34.41
3521,-71.048000,42.222200,13.4,13.4,3.32105,0.0,19.58,1,871,5403,100.0,1.3216,5,403,14.7,396.90,26.82
3522,-71.051900,42.223000,15.6,15.6,4.09740,0.0,19.58,0,871,5468,100.0,1.4118,5,403,14.7,396.90,26.42
3523,-71.051000,42.220500,11.8,11.8,2.77974,0.0,19.58,0,871,4903,97.8,1.3459,5,403,14.7,396.90,29.29
3524,-71.054000,42.219000,13.8,13.8,2.37934,0.0,19.58,0,871,6130,100.0,1.4191,5,403,14.7,172.91,27.80
3525,-71.059000,42.221000,15.6,15.6,2.15505,0.0,19.58,0,871,5628,100.0,1.5166,5,403,14.7,169.27,16.65
3526,-71.055500,42.222200,14.6,14.6,2.36862,0.0,19.58,0,871,4926,95.7,1.4608,5,403,14.7,391.71,29.53
3527,-71.056700,42.224000,17.8,17.8,2.33099,0.0,19.58,0,871,5186,93.8,1.5296,5,403,14.7,356.99,28.32
3528,-71.058000,42.223000,15.4,15.4,2.73397,0.0,19.58,0,871,5597,94.9,1.5257,5,403,14.7,351.85,21.45
3529,-71.062000,42.223600,21.5,21.5,1.65660,0.0,19.58,0,871,6122,97.3,1.6180,5,403,14.7,372.80,14.10
3530,-71.062200,42.220500,19.6,19.6,1.49632,0.0,19.58,0,871,5404,100.0,1.5916,5,403,14.7,341.60,13.28
3531,-71.059000,42.217000,15.3,15.3,1.12658,0.0,19.58,1,871,5012,88.0,1.6102,5,403,14.7,343.28,12.12
3532,-71.064500,42.215000,19.4,19.4,2.14918,0.0,19.58,0,871,5709,98.5,1.6232,5,403,14.7,261.95,15.79
3533,-71.066200,42.216200,17.0,17.0,1.41385,0.0,19.58,1,871,6129,96.0,1.7494,5,403,14.7,321.02,15.12
3534,-71.068000,42.215000,15.6,15.6,3.53501,0.0,19.58,1,871,6152,82.6,1.7455,5,403,14.7,88.01,15.02
3535,-71.066700,42.220000,13.1,13.1,2.44668,0.0,19.58,0,871,5272,94.0,1.7364,5,403,14.7,88.63,16.14
3536,-71.069000,42.228500,41.3,41.3,1.22358,0.0,19.58,0,605,6943,97.4,1.8773,5,403,14.7,363.43,4.59
3537,-71.067000,42.224500,24.3,24.3,1.34284,0.0,19.58,0,605,6066,100.0,1.7573,5,403,14.7,353.89,6.43
3538,-71.065000,42.222300,23.3,23.3,1.42502,0.0,19.58,0,871,6510,100.0,1.7659,5,403,14.7,364.31,7.39
3539,-71.070000,42.221400,27.0,27.0,1.27346,0.0,19.58,1,605,6250,92.6,1.7984,5,403,14.7,338.92,5.50
3540,-71.073500,42.228200,50.0,50.0,1.46336,0.0,19.58,0,605,7489,90.8,1.9709,5,403,14.7,374.43,1.73
3541,-71.077000,42.225000,50.0,50.0,1.83377,0.0,19.58,1,605,7802,98.2,2.0407,5,403,14.7,389.61,1.92
3542,-71.081500,42.225000,50.0,50.0,1.51902,0.0,19.58,1,605,8375,93.9,2.1620,5,403,14.7,388.45,3.32
3543,-71.091800,42.226500,22.7,22.7,2.24236,0.0,19.58,0,605,5854,91.8,2.4220,5,403,14.7,395.11,11.64
3544,-71.082000,42.229500,25.0,25.0,2.92400,0.0,19.58,0,605,6101,93.0,2.2834,5,403,14.7,240.16,9.81
3545,-71.077000,42.230500,50.0,50.0,2.01019,0.0,19.58,0,605,7929,96.2,2.0459,5,403,14.7,369.30,3.70
