transaction_date,house_age,distance_nearest_MRT_station,number_convenience_stores,latitude,longitude,house_price_unit_area
2012.9167,32.00,84.8788,10,24.98298,121.54024,37.90000
2012.9167,19.50,306.5947,9,24.98034,121.53951,42.20000
2013.5833,13.30,561.9845,5,24.98746,121.54391,47.30000
2013.5000,13.30,561.9845,5,24.98746,121.54391,54.80000
2012.8333,5.00,390.5684,5,24.97937,121.54245,43.10000
2012.6667,7.10,2175.0300,3,24.96305,121.51254,32.10000
2012.6667,34.50,623.4731,7,24.97933,121.53642,40.30000
2013.4167,20.30,287.6025,6,24.98042,121.54228,46.70000
2013.5000,31.70,5512.0380,1,24.95095,121.48458,18.80000
2013.4167,17.90,1783.1800,3,24.96731,121.51486,22.10000
2013.0833,34.80,405.2134,1,24.97349,121.53372,41.40000
2013.3333,6.30,90.4561,9,24.97433,121.54310,58.10000
2012.9167,13.00,492.2313,5,24.96515,121.53737,39.30000
2012.6667,20.40,2469.6450,4,24.96108,121.51046,23.80000
2013.5000,13.20,1164.8380,4,24.99156,121.53406,34.30000
2013.5833,35.70,579.2083,2,24.98240,121.54619,50.50000
2013.2500,0.00,292.9978,6,24.97744,121.54458,70.10000
2012.7500,17.70,350.8515,1,24.97544,121.53119,37.40000
2013.4167,16.90,368.1363,8,24.96750,121.54451,42.30000
2012.6667,1.50,23.3828,7,24.96772,121.54102,47.70000
2013.4167,4.50,2275.8770,3,24.96314,121.51151,29.30000
2013.4167,10.50,279.1726,7,24.97528,121.54541,51.60000
2012.9167,14.70,1360.1390,1,24.95204,121.54842,24.60000
2013.0833,10.10,279.1726,7,24.97528,121.54541,47.90000
2013.0000,39.60,480.6977,4,24.97353,121.53885,38.80000
2013.0833,29.30,1487.8680,2,24.97542,121.51726,27.00000
2012.6667,3.10,383.8624,5,24.98085,121.54391,56.20000
2013.2500,10.40,276.4490,5,24.95593,121.53913,33.60000
2013.5000,19.20,557.4780,4,24.97419,121.53797,47.00000
2013.0833,7.10,451.2438,5,24.97563,121.54694,57.10000
2013.5000,25.90,4519.6900,0,24.94826,121.49587,22.10000
2012.7500,29.60,769.4034,7,24.98281,121.53408,25.00000
2012.7500,37.90,488.5727,1,24.97349,121.53451,34.20000
2013.2500,16.50,323.6550,6,24.97841,121.54281,49.30000
2012.7500,15.40,205.3670,7,24.98419,121.54243,55.10000
2013.5000,13.90,4079.4180,0,25.01459,121.51816,27.30000
2012.9167,14.70,1935.0090,2,24.96386,121.51458,22.90000
2013.1667,12.00,1360.1390,1,24.95204,121.54842,25.30000
2012.6667,3.10,577.9615,6,24.97201,121.54722,47.70000
2013.1667,16.20,289.3248,5,24.98203,121.54348,46.20000
2013.0000,13.60,4082.0150,0,24.94155,121.50381,15.90000
2013.5000,16.80,4066.5870,0,24.94297,121.50342,18.20000
2013.4167,36.10,519.4617,5,24.96305,121.53758,34.70000
2012.7500,34.40,512.7871,6,24.98748,121.54301,34.10000
2013.5833,2.70,533.4762,4,24.97445,121.54765,53.90000
2013.0833,36.60,488.8193,8,24.97015,121.54494,38.30000
2013.4167,21.70,463.9623,9,24.97030,121.54458,42.00000
2013.5833,35.90,640.7391,3,24.97563,121.53715,61.50000
2013.4167,24.20,4605.7490,0,24.94684,121.49578,13.40000
2012.6667,29.40,4510.3590,1,24.94925,121.49542,13.20000
2013.4167,21.70,512.5487,4,24.97400,121.53842,44.20000
2013.0833,31.30,1758.4060,1,24.95402,121.55282,20.70000
2013.5833,32.10,1438.5790,3,24.97419,121.51750,27.00000
2013.0833,13.30,492.2313,5,24.96515,121.53737,38.90000
2013.0833,16.10,289.3248,5,24.98203,121.54348,51.70000
2012.8333,31.70,1160.6320,0,24.94968,121.53009,13.70000
2013.4167,33.60,371.2495,8,24.97254,121.54059,41.90000
2012.9167,3.50,56.4743,7,24.95744,121.53711,53.50000
2013.5000,30.30,4510.3590,1,24.94925,121.49542,22.60000
2013.0833,13.30,336.0532,5,24.95776,121.53438,42.40000
2013.4167,11.00,1931.2070,2,24.96365,121.51471,21.30000
2013.5000,5.30,259.6607,6,24.97585,121.54516,63.20000
2012.9167,17.20,2175.8770,3,24.96303,121.51254,27.70000
2013.5833,2.60,533.4762,4,24.97445,121.54765,55.00000
2013.3333,17.50,995.7554,0,24.96305,121.54915,25.30000
2013.4167,40.10,123.7429,8,24.97635,121.54329,44.30000
2013.0000,1.00,193.5845,6,24.96571,121.54089,50.70000
2013.5000,8.50,104.8101,5,24.96674,121.54067,56.80000
2013.4167,30.40,464.2230,6,24.97964,121.53805,36.20000
2012.8333,12.50,561.9845,5,24.98746,121.54391,42.00000
2013.5833,6.60,90.4561,9,24.97433,121.54310,59.00000
2013.0833,35.50,640.7391,3,24.97563,121.53715,40.80000
2013.5833,32.50,424.5442,8,24.97587,121.53913,36.30000
2013.1667,13.80,4082.0150,0,24.94155,121.50381,20.00000
2012.9167,6.80,379.5575,10,24.98343,121.53762,54.40000
2013.5000,12.30,1360.1390,1,24.95204,121.54842,29.50000
2013.5833,35.90,616.4004,3,24.97723,121.53767,36.80000
2012.8333,20.50,2185.1280,3,24.96322,121.51237,25.60000
2012.9167,38.20,552.4371,2,24.97598,121.53381,29.80000
2013.0000,18.00,1414.8370,1,24.95182,121.54887,26.50000
2013.5000,11.80,533.4762,4,24.97445,121.54765,40.30000
2013.0000,30.80,377.7956,6,24.96427,121.53964,36.80000
2013.0833,13.20,150.9347,7,24.96725,121.54252,48.10000
2012.9167,25.30,2707.3920,3,24.96056,121.50831,17.70000
2013.0833,15.10,383.2805,7,24.96735,121.54464,43.70000
2012.7500,0.00,338.9679,9,24.96853,121.54413,50.80000
2012.8333,1.80,1455.7980,1,24.95120,121.54900,27.00000
2013.5833,16.90,4066.5870,0,24.94297,121.50342,18.30000
2012.9167,8.90,1406.4300,0,24.98573,121.52758,48.00000
2013.5000,23.00,3947.9450,0,24.94783,121.50243,25.30000
2012.8333,0.00,274.0144,1,24.97480,121.53059,45.40000
2013.2500,9.10,1402.0160,0,24.98569,121.52760,43.20000
2012.9167,20.60,2469.6450,4,24.96108,121.51046,21.80000
2012.9167,31.90,1146.3290,0,24.94920,121.53076,16.10000
2012.9167,40.90,167.5989,5,24.96630,121.54026,41.00000
2012.9167,8.00,104.8101,5,24.96674,121.54067,51.80000
2013.4167,6.40,90.4561,9,24.97433,121.54310,59.50000
2013.0833,28.40,617.4424,3,24.97746,121.53299,34.60000
2013.4167,16.40,289.3248,5,24.98203,121.54348,51.00000
2013.4167,6.40,90.4561,9,24.97433,121.54310,62.20000
2013.5000,17.50,964.7496,4,24.98872,121.53411,38.20000
2012.8333,12.70,170.1289,1,24.97371,121.52984,32.90000
2013.0833,1.10,193.5845,6,24.96571,121.54089,54.40000
2012.7500,0.00,208.3905,6,24.95618,121.53844,45.70000
2012.6667,32.70,392.4459,6,24.96398,121.54250,30.50000
2012.8333,0.00,292.9978,6,24.97744,121.54458,71.00000
2013.0833,17.20,189.5181,8,24.97707,121.54308,47.10000
2013.3333,12.20,1360.1390,1,24.95204,121.54842,26.60000
2013.4167,31.40,592.5006,2,24.97260,121.53561,34.10000
2013.5833,4.00,2147.3760,3,24.96299,121.51284,28.40000
2013.0833,8.10,104.8101,5,24.96674,121.54067,51.60000
2013.5833,33.30,196.6172,7,24.97701,121.54224,39.40000
2013.4167,9.90,2102.4270,3,24.96044,121.51462,23.10000
2013.3333,14.80,393.2606,6,24.96172,121.53812,7.60000
2012.6667,30.60,143.8383,8,24.98155,121.54142,53.30000
2013.0833,20.60,737.9161,2,24.98092,121.54739,46.40000
2013.0000,30.90,6396.2830,1,24.94375,121.47883,12.20000
2013.0000,13.60,4197.3490,0,24.93885,121.50383,13.00000
2013.5000,25.30,1583.7220,3,24.96622,121.51709,30.60000
2013.5000,16.60,289.3248,5,24.98203,121.54348,59.60000
2013.1667,13.30,492.2313,5,24.96515,121.53737,31.30000
2013.5000,13.60,492.2313,5,24.96515,121.53737,48.00000
2013.2500,31.50,414.9476,4,24.98199,121.54464,32.50000
2013.4167,0.00,185.4296,0,24.97110,121.53170,45.50000
2012.9167,9.90,279.1726,7,24.97528,121.54541,57.40000
2013.1667,1.10,193.5845,6,24.96571,121.54089,48.60000
2013.0833,38.60,804.6897,4,24.97838,121.53477,62.90000
2013.2500,3.80,383.8624,5,24.98085,121.54391,55.00000
2013.0833,41.30,124.9912,6,24.96674,121.54039,60.70000
2013.4167,38.50,216.8329,7,24.98086,121.54162,41.00000
2013.2500,29.60,535.5270,8,24.98092,121.53653,37.50000
2013.5000,4.00,2147.3760,3,24.96299,121.51284,30.70000
2013.1667,26.60,482.7581,5,24.97433,121.53863,37.50000
2012.8333,18.00,373.3937,8,24.98660,121.54082,39.50000
2012.6667,33.40,186.9686,6,24.96604,121.54211,42.20000
2012.9167,18.90,1009.2350,0,24.96357,121.54951,20.80000
2012.7500,11.40,390.5684,5,24.97937,121.54245,46.80000
2013.5000,13.60,319.0708,6,24.96495,121.54277,47.40000
2013.1667,10.00,942.4664,0,24.97843,121.52406,43.50000
2012.6667,12.90,492.2313,5,24.96515,121.53737,42.50000
2013.2500,16.20,289.3248,5,24.98203,121.54348,51.40000
2013.3333,5.10,1559.8270,3,24.97213,121.51627,28.90000
2013.4167,19.80,640.6071,5,24.97017,121.54647,37.50000
2013.5000,13.60,492.2313,5,24.96515,121.53737,40.10000
2013.0833,11.90,1360.1390,1,24.95204,121.54842,28.40000
2012.9167,2.10,451.2438,5,24.97563,121.54694,45.50000
2012.7500,0.00,185.4296,0,24.97110,121.53170,52.20000
2012.7500,3.20,489.8821,8,24.97017,121.54494,43.20000
2013.5000,16.40,3780.5900,0,24.93293,121.51203,45.10000
2012.6667,34.90,179.4538,8,24.97349,121.54245,39.70000
2013.2500,35.80,170.7311,7,24.96719,121.54269,48.50000
2013.5000,4.90,387.7721,9,24.98118,121.53788,44.70000
2013.3333,12.00,1360.1390,1,24.95204,121.54842,28.90000
2013.2500,6.50,376.1709,6,24.95418,121.53713,40.90000
2013.5000,16.90,4066.5870,0,24.94297,121.50342,20.70000
2013.1667,13.80,4082.0150,0,24.94155,121.50381,15.60000
2013.5833,30.70,1264.7300,0,24.94883,121.52954,18.30000
2013.2500,16.10,815.9314,4,24.97886,121.53464,35.60000
2013.0000,11.60,390.5684,5,24.97937,121.54245,39.40000
2012.6667,15.50,815.9314,4,24.97886,121.53464,37.40000
2012.9167,3.50,49.6611,8,24.95836,121.53756,57.80000
2013.4167,19.20,616.4004,3,24.97723,121.53767,39.60000
2012.7500,16.00,4066.5870,0,24.94297,121.50342,11.60000
2013.5000,8.50,104.8101,5,24.96674,121.54067,55.50000
2012.8333,0.00,185.4296,0,24.97110,121.53170,55.20000
2012.9167,13.70,1236.5640,1,24.97694,121.55391,30.60000
2013.4167,0.00,292.9978,6,24.97744,121.54458,73.60000
2013.4167,28.20,330.0854,8,24.97408,121.54011,43.40000
2013.0833,27.60,515.1122,5,24.96299,121.54320,37.40000
2013.4167,8.40,1962.6280,1,24.95468,121.55481,23.50000
2013.3333,24.00,4527.6870,0,24.94741,121.49628,14.40000
2013.0833,3.60,383.8624,5,24.98085,121.54391,58.80000
2013.5833,6.60,90.4561,9,24.97433,121.54310,58.10000
2013.0833,41.30,401.8807,4,24.98326,121.54460,35.10000
2013.4167,4.30,432.0385,7,24.98050,121.53778,45.20000
2013.0833,30.20,472.1745,3,24.97005,121.53758,36.50000
2012.8333,13.90,4573.7790,0,24.94867,121.49507,19.20000
2013.0833,33.00,181.0766,9,24.97697,121.54262,42.00000
2013.5000,13.10,1144.4360,4,24.99176,121.53456,36.70000
2013.0833,14.00,438.8513,1,24.97493,121.52730,42.60000
2012.6667,26.90,4449.2700,0,24.94898,121.49621,15.50000
2013.1667,11.60,201.8939,8,24.98489,121.54121,55.90000
2013.5000,13.50,2147.3760,3,24.96299,121.51284,23.60000
2013.5000,17.00,4082.0150,0,24.94155,121.50381,18.80000
2012.7500,14.10,2615.4650,0,24.95495,121.56174,21.80000
2012.7500,31.40,1447.2860,3,24.97285,121.51730,21.50000
2013.1667,20.90,2185.1280,3,24.96322,121.51237,25.70000
2013.0000,8.90,3078.1760,0,24.95464,121.56627,22.00000
2012.9167,34.80,190.0392,8,24.97707,121.54312,44.30000
2012.9167,16.30,4066.5870,0,24.94297,121.50342,20.50000
2013.5000,35.30,616.5735,8,24.97945,121.53642,42.30000
2013.1667,13.20,750.0704,2,24.97371,121.54951,37.80000
2013.1667,43.80,57.5895,7,24.96750,121.54069,42.70000
2013.4167,9.70,421.4790,5,24.98246,121.54477,49.30000
2013.5000,15.20,3771.8950,0,24.93363,121.51158,29.30000
2013.3333,15.20,461.1016,5,24.95425,121.53990,34.60000
2013.0000,22.80,707.9067,2,24.98100,121.54713,36.60000
2013.2500,34.40,126.7286,8,24.96881,121.54089,48.20000
2013.0833,34.00,157.6052,7,24.96628,121.54196,39.10000
2013.4167,18.20,451.6419,8,24.96945,121.54490,31.60000
2013.4167,17.40,995.7554,0,24.96305,121.54915,25.50000
2013.4167,13.10,561.9845,5,24.98746,121.54391,45.90000
2012.9167,38.30,642.6985,3,24.97559,121.53713,31.50000
2012.6667,15.60,289.3248,5,24.98203,121.54348,46.10000
2013.0000,18.00,1414.8370,1,24.95182,121.54887,26.60000
2013.0833,12.80,1449.7220,3,24.97289,121.51728,21.40000
2013.2500,22.20,379.5575,10,24.98343,121.53762,44.00000
2013.0833,38.50,665.0636,3,24.97503,121.53692,34.20000
2012.7500,11.50,1360.1390,1,24.95204,121.54842,26.20000
2012.8333,34.80,175.6294,8,24.97347,121.54271,40.90000
2013.5000,5.20,390.5684,5,24.97937,121.54245,52.20000
2013.0833,0.00,274.0144,1,24.97480,121.53059,43.50000
2013.3333,17.60,1805.6650,2,24.98672,121.52091,31.10000
2013.0833,6.20,90.4561,9,24.97433,121.54310,58.00000
2013.5833,18.10,1783.1800,3,24.96731,121.51486,20.90000
2013.3333,19.20,383.7129,8,24.97200,121.54477,48.10000
2013.2500,37.80,590.9292,1,24.97153,121.53559,39.70000
2012.9167,28.00,372.6242,6,24.97838,121.54119,40.80000
2013.4167,13.60,492.2313,5,24.96515,121.53737,43.80000
2012.7500,29.30,529.7771,8,24.98102,121.53655,40.20000
2013.3333,37.20,186.5101,9,24.97703,121.54265,78.30000
2013.3333,9.00,1402.0160,0,24.98569,121.52760,38.50000
2013.5833,30.60,431.1114,10,24.98123,121.53743,48.50000
2013.2500,9.10,1402.0160,0,24.98569,121.52760,42.30000
2013.3333,34.50,324.9419,6,24.97814,121.54170,46.00000
2013.2500,1.10,193.5845,6,24.96571,121.54089,49.00000
2013.0000,16.50,4082.0150,0,24.94155,121.50381,12.80000
2012.9167,32.40,265.0609,8,24.98059,121.53986,40.20000
2013.4167,11.90,3171.3290,0,25.00115,121.51776,46.60000
2013.5833,31.00,1156.4120,0,24.94890,121.53095,19.00000
2013.5000,4.00,2147.3760,3,24.96299,121.51284,33.40000
2012.8333,16.20,4074.7360,0,24.94235,121.50357,14.70000
2012.9167,27.10,4412.7650,1,24.95032,121.49587,17.40000
2013.3333,39.70,333.3679,9,24.98016,121.53932,32.40000
2013.2500,8.00,2216.6120,4,24.96007,121.51361,23.90000
2012.7500,12.90,250.6310,7,24.96606,121.54297,39.30000
2013.1667,3.60,373.8389,10,24.98322,121.53765,61.90000
2013.1667,13.00,732.8528,0,24.97668,121.52518,39.00000
2013.0833,12.80,732.8528,0,24.97668,121.52518,40.60000
2013.5000,18.10,837.7233,0,24.96334,121.54767,29.70000
2013.0833,11.00,1712.6320,2,24.96412,121.51670,28.80000
2013.5000,13.70,250.6310,7,24.96606,121.54297,41.40000
2012.8333,2.00,2077.3900,3,24.96357,121.51329,33.40000
2013.4167,32.80,204.1705,8,24.98236,121.53923,48.20000
2013.0833,4.80,1559.8270,3,24.97213,121.51627,21.70000
2013.4167,7.50,639.6198,5,24.97258,121.54814,40.80000
2013.4167,16.40,389.8219,6,24.96412,121.54273,40.60000
2013.3333,21.70,1055.0670,0,24.96211,121.54928,23.10000
2013.0000,19.00,1009.2350,0,24.96357,121.54951,22.30000
2012.8333,18.00,6306.1530,1,24.95743,121.47516,15.00000
2013.1667,39.20,424.7132,7,24.97429,121.53917,30.00000
2012.9167,31.70,1159.4540,0,24.94960,121.53018,13.80000
2012.8333,5.90,90.4561,9,24.97433,121.54310,52.70000
2012.6667,30.40,1735.5950,2,24.96464,121.51623,25.90000
2012.6667,1.10,329.9747,5,24.98254,121.54395,51.80000
2013.4167,31.50,5512.0380,1,24.95095,121.48458,17.40000
2012.6667,14.60,339.2289,1,24.97519,121.53151,26.50000
2013.2500,17.30,444.1334,1,24.97501,121.52730,43.90000
2013.4167,0.00,292.9978,6,24.97744,121.54458,63.30000
2013.0833,17.70,837.7233,0,24.96334,121.54767,28.80000
2013.2500,17.00,1485.0970,4,24.97073,121.51700,30.70000
2013.1667,16.20,2288.0110,3,24.95885,121.51359,24.40000
2012.9167,15.90,289.3248,5,24.98203,121.54348,53.00000
2013.4167,3.90,2147.3760,3,24.96299,121.51284,31.70000
2013.1667,32.60,493.6570,7,24.96968,121.54522,40.60000
2012.8333,15.70,815.9314,4,24.97886,121.53464,38.10000
2013.2500,17.80,1783.1800,3,24.96731,121.51486,23.70000
2012.8333,34.70,482.7581,5,24.97433,121.53863,41.10000
2013.4167,17.20,390.5684,5,24.97937,121.54245,40.10000
2013.0000,17.60,837.7233,0,24.96334,121.54767,23.00000
2013.3333,10.80,252.5822,1,24.97460,121.53046,117.50000
2012.9167,17.70,451.6419,8,24.96945,121.54490,26.50000
2012.7500,13.00,492.2313,5,24.96515,121.53737,40.50000
2013.4167,13.20,170.1289,1,24.97371,121.52984,29.30000
2013.1667,27.50,394.0173,7,24.97305,121.53994,41.00000
2012.6667,1.50,23.3828,7,24.96772,121.54102,49.70000
2013.0000,19.10,461.1016,5,24.95425,121.53990,34.00000
2013.4167,21.20,2185.1280,3,24.96322,121.51237,27.70000
2012.7500,0.00,208.3905,6,24.95618,121.53844,44.00000
2013.4167,2.60,1554.2500,3,24.97026,121.51642,31.10000
2013.2500,2.30,184.3302,6,24.96581,121.54086,45.40000
2013.3333,4.70,387.7721,9,24.98118,121.53788,44.80000
2012.9167,2.00,1455.7980,1,24.95120,121.54900,25.60000
2013.4167,33.50,1978.6710,2,24.98674,121.51844,23.50000
2012.9167,15.00,383.2805,7,24.96735,121.54464,34.40000
2013.1667,30.10,718.2937,3,24.97509,121.53644,55.30000
2012.9167,5.90,90.4561,9,24.97433,121.54310,56.30000
2013.0000,19.20,461.1016,5,24.95425,121.53990,32.90000
2013.5833,16.60,323.6912,6,24.97841,121.54280,51.00000
2013.3333,13.90,289.3248,5,24.98203,121.54348,44.50000
2013.0833,37.70,490.3446,0,24.97217,121.53471,37.00000
2012.8333,3.40,56.4743,7,24.95744,121.53711,54.40000
2013.0833,17.50,395.6747,5,24.95674,121.53400,24.50000
2012.6667,12.60,383.2805,7,24.96735,121.54464,42.50000
2013.5000,26.40,335.5273,6,24.97960,121.54140,38.10000
2013.1667,18.20,2179.5900,3,24.96299,121.51252,21.80000
2012.7500,12.50,1144.4360,4,24.99176,121.53456,34.10000
2012.8333,34.90,567.0349,4,24.97003,121.54580,28.50000
2013.3333,16.70,4082.0150,0,24.94155,121.50381,16.70000
2013.1667,33.20,121.7262,10,24.98178,121.54059,46.10000
2013.0833,2.50,156.2442,4,24.96696,121.53992,36.90000
2012.7500,38.00,461.7848,0,24.97229,121.53445,35.70000
2013.5000,16.50,2288.0110,3,24.95885,121.51359,23.20000
2013.5000,38.30,439.7105,0,24.97161,121.53423,38.40000
2013.4167,20.00,1626.0830,3,24.96622,121.51668,29.40000
2013.0833,16.20,289.3248,5,24.98203,121.54348,55.00000
2013.5000,14.40,169.9803,1,24.97369,121.52979,50.20000
2012.8333,10.30,3079.8900,0,24.95460,121.56627,24.70000
2013.4167,16.40,289.3248,5,24.98203,121.54348,53.00000
2013.2500,30.30,1264.7300,0,24.94883,121.52954,19.10000
2013.5833,16.40,1643.4990,2,24.95394,121.55174,24.70000
2013.1667,21.30,537.7971,4,24.97425,121.53814,42.20000
2013.5833,35.40,318.5292,9,24.97071,121.54069,78.00000
2013.3333,8.30,104.8101,5,24.96674,121.54067,42.80000
2013.2500,3.70,577.9615,6,24.97201,121.54722,41.60000
2013.0833,15.60,1756.4110,2,24.98320,121.51812,27.30000
2013.2500,13.30,250.6310,7,24.96606,121.54297,42.00000
2012.7500,15.60,752.7669,2,24.97795,121.53451,37.50000
2013.3333,7.10,379.5575,10,24.98343,121.53762,49.80000
2013.2500,34.60,272.6783,5,24.95562,121.53872,26.90000
2012.7500,13.50,4197.3490,0,24.93885,121.50383,18.60000
2012.9167,16.90,964.7496,4,24.98872,121.53411,37.70000
2013.0000,12.90,187.4823,1,24.97388,121.52981,33.10000
2013.4167,28.60,197.1338,6,24.97631,121.54436,42.50000
2012.6667,12.40,1712.6320,2,24.96412,121.51670,31.30000
2013.0833,36.60,488.8193,8,24.97015,121.54494,38.10000
2013.5000,4.10,56.4743,7,24.95744,121.53711,62.10000
2013.4167,3.50,757.3377,3,24.97538,121.54971,36.70000
2012.8333,15.90,1497.7130,3,24.97003,121.51696,23.60000
2013.0000,13.60,4197.3490,0,24.93885,121.50383,19.20000
2013.0833,32.00,1156.7770,0,24.94935,121.53046,12.80000
2013.3333,25.60,4519.6900,0,24.94826,121.49587,15.60000
2013.1667,39.80,617.7134,2,24.97577,121.53475,39.60000
2012.7500,7.80,104.8101,5,24.96674,121.54067,38.40000
2012.9167,30.00,1013.3410,5,24.99006,121.53460,22.80000
2013.5833,27.30,337.6016,6,24.96431,121.54063,36.50000
2012.8333,5.10,1867.2330,2,24.98407,121.51748,35.60000
2012.8333,31.30,600.8604,5,24.96871,121.54651,30.90000
2012.9167,31.50,258.1860,9,24.96867,121.54331,36.30000
2013.3333,1.70,329.9747,5,24.98254,121.54395,50.40000
2013.3333,33.60,270.8895,0,24.97281,121.53265,42.90000
2013.0000,13.00,750.0704,2,24.97371,121.54951,37.00000
2012.6667,5.70,90.4561,9,24.97433,121.54310,53.50000
2013.0000,33.50,563.2854,8,24.98223,121.53597,46.60000
2013.5000,34.60,3085.1700,0,24.99800,121.51550,41.20000
2012.6667,0.00,185.4296,0,24.97110,121.53170,37.90000
2013.4167,13.20,1712.6320,2,24.96412,121.51670,30.80000
2013.5833,17.40,6488.0210,1,24.95719,121.47353,11.20000
2012.8333,4.60,259.6607,6,24.97585,121.54516,53.70000
2012.7500,7.80,104.8101,5,24.96674,121.54067,47.00000
2013.0000,13.20,492.2313,5,24.96515,121.53737,42.30000
2012.8333,4.00,2180.2450,3,24.96324,121.51241,28.60000
2012.8333,18.40,2674.9610,3,24.96143,121.50827,25.70000
2013.5000,4.10,2147.3760,3,24.96299,121.51284,31.30000
2013.4167,12.20,1360.1390,1,24.95204,121.54842,30.10000
2013.2500,3.80,383.8624,5,24.98085,121.54391,60.70000
2012.8333,10.30,211.4473,1,24.97417,121.52999,45.30000
2013.4167,0.00,338.9679,9,24.96853,121.54413,44.90000
2013.1667,1.10,193.5845,6,24.96571,121.54089,45.10000
2013.5000,5.60,2408.9930,0,24.95505,121.55964,24.70000
2012.6667,32.90,87.3022,10,24.98300,121.54022,47.10000
2013.0833,41.40,281.2050,8,24.97345,121.54093,63.30000
2013.4167,17.10,967.4000,4,24.98872,121.53408,40.00000
2013.5000,32.30,109.9455,10,24.98182,121.54086,48.00000
2013.4167,35.30,614.1394,7,24.97913,121.53666,33.10000
2012.9167,17.30,2261.4320,4,24.96182,121.51222,29.50000
2012.7500,14.20,1801.5440,1,24.95153,121.55254,24.80000
2012.8333,15.00,1828.3190,2,24.96464,121.51531,20.90000
2013.4167,18.20,350.8515,1,24.97544,121.53119,43.10000
2012.6667,20.20,2185.1280,3,24.96322,121.51237,22.80000
2012.7500,15.90,289.3248,5,24.98203,121.54348,42.10000
2013.5000,4.10,312.8963,5,24.95591,121.53956,51.70000
2013.0000,33.90,157.6052,7,24.96628,121.54196,41.50000
2013.0833,0.00,274.0144,1,24.97480,121.53059,52.20000
2013.2500,5.40,390.5684,5,24.97937,121.54245,49.50000
2013.2500,21.70,1157.9880,0,24.96165,121.55011,23.80000
2013.4167,14.70,1717.1930,2,24.96447,121.51649,30.50000
2013.3333,3.90,49.6611,8,24.95836,121.53756,56.80000
2013.3333,37.30,587.8877,8,24.97077,121.54634,37.40000
2013.3333,0.00,292.9978,6,24.97744,121.54458,69.70000
2013.3333,14.10,289.3248,5,24.98203,121.54348,53.30000
2013.4167,8.00,132.5469,9,24.98298,121.53981,47.30000
2013.0000,16.30,3529.5640,0,24.93207,121.51597,29.30000
2012.6667,29.10,506.1144,4,24.97845,121.53889,40.30000
2012.7500,16.10,4066.5870,0,24.94297,121.50342,12.90000
2013.0000,18.30,82.8864,10,24.98300,121.54026,46.60000
2012.8333,0.00,185.4296,0,24.97110,121.53170,55.30000
2013.2500,16.20,2103.5550,3,24.96042,121.51462,25.60000
2013.5000,10.40,2251.9380,4,24.95957,121.51353,27.30000
2013.2500,40.90,122.3619,8,24.96756,121.54230,67.70000
2013.5000,32.80,377.8302,9,24.97151,121.54350,38.60000
2013.5833,6.20,1939.7490,1,24.95155,121.55387,31.30000
2013.0833,42.70,443.8020,6,24.97927,121.53874,35.30000
2013.0000,16.90,967.4000,4,24.98872,121.53408,40.30000
2013.5000,32.60,4136.2710,1,24.95544,121.49630,24.70000
2012.9167,21.20,512.5487,4,24.97400,121.53842,42.50000
2012.6667,37.10,918.6357,1,24.97198,121.55063,31.90000
2013.4167,13.10,1164.8380,4,24.99156,121.53406,32.20000
2013.4167,14.70,1717.1930,2,24.96447,121.51649,23.00000
2012.9167,12.70,170.1289,1,24.97371,121.52984,37.30000
2013.2500,26.80,482.7581,5,24.97433,121.53863,35.50000
2013.0833,7.60,2175.0300,3,24.96305,121.51254,27.70000
2012.8333,12.70,187.4823,1,24.97388,121.52981,28.50000
2012.6667,30.90,161.9420,9,24.98353,121.53966,39.70000
2013.3333,16.40,289.3248,5,24.98203,121.54348,41.20000
2012.6667,23.00,130.9945,6,24.95663,121.53765,37.20000
2013.1667,1.90,372.1386,7,24.97293,121.54026,40.50000
2013.0000,5.20,2408.9930,0,24.95505,121.55964,22.30000
2013.4167,18.50,2175.7440,3,24.96330,121.51243,28.10000
2013.0000,13.70,4082.0150,0,24.94155,121.50381,15.40000
2012.6667,5.60,90.4561,9,24.97433,121.54310,50.00000
2013.2500,18.80,390.9696,7,24.97923,121.53986,40.60000
2013.0000,8.10,104.8101,5,24.96674,121.54067,52.50000
2013.5000,6.50,90.4561,9,24.97433,121.54310,63.90000
